City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
136,melfort,52.8667,-104.6177,281.22,76,79,1.03,CA,1696439086
137,remire-montjoly,4.9167,-52.2667,306.17,58,75,6.69,GF,1696439086
138,inverell,-29.7833,151.1167,286.3,90,99,0.89,AU,1696439087
139,ola,59.5833,151.2833,276.71,70,17,1.96,RU,1696439087
140,kerikeri,-35.2268,173.9474,277.54,91,1,1.89,NZ,1696438958
141,singrauli,24.1997,82.6753,296.07,94,85,2.12,IN,1696439087
142,tralee,52.2704,-9.7026,288.29,94,100,6.69,IE,1696439087
143,oppdal,62.5943,9.6912,277.57,93,100,1.5,NO,1696438923
144,baki,-7.6128,110.7839,298.14,78,37,2.8,ID,1696439087
145,la passe,45.5549,-0.8967,295.28,42,99,2.92,FR,1696439088
146,lebu,-37.6167,-73.65,285.84,64,0,6.03,CL,1696439088
147,utrik,11.2278,169.8474,301.47,73,87,6.63,MH,1696439088
148,oamaru,-45.0784,170.9801,284.47,88,100,0.9,NZ,1696439088
149,las tablas,7.7667,-80.2833,299.97,83,98,0.71,PA,1696439089
150,iskateley,67.6803,53.1512,277.05,78,100,9.39,RU,1696439089
151,ouallam,14.3188,2.0866,308.75,28,68,5.08,NE,1696439089
152,khuzdar,27.7384,66.6434,299.03,14,0,2.87,PK,1696439090
153,haimen,23.1935,116.6142,302.09,86,100,1.59,CN,1696439090
154,lewisburg,35.4492,-86.7889,301.57,47,0,4.12,US,1696439090
155,nar'yan-mar,67.6713,53.087,277.1,78,100,9.39,RU,1696439090
156,rorschach,47.478,9.4903,290.21,78,0,1.54,CH,1696439090
157,corner brook,48.9667,-57.9484,285.24,55,78,4.46,CA,1696439091
158,kavieng,-2.5744,150.7967,300.13,80,41,5.46,PG,1696439091
159,qaqortoq,60.7167,-46.0333,276.04,80,100,1.7,GL,1696439091
160,hadibu,12.65,54.0333,300.43,73,2,0.18,YE,1696439091
161,akureyri,65.6835,-18.0878,279.11,81,75,3.09,IS,1696439092
162,arenapolis,-14.4503,-56.8461,313.5,20,43,3.55,BR,1696438907
163,samdari,25.8167,72.5833,302.15,38,1,4.75,IN,1696439092
